ADM3_ES,ADM3_PCODE,ADM2_ES,ADM2_PCODE,ADM1_ES,SSP1_2030_population,SSP1_2050_population,SSP2_2030_population,SSP2_2050_population,SSP3_2030_population,SSP3_2050_population
Conima,PE210902,Moho,PE2109,Puno,2710.613281,2784.63427734375,2841.12451171875,2989.6279296875,3157.498047,4031.011719
Constitucion,PE190308,Oxapampa,PE1903,Pasco,8558.494141,8324.1787109375,8808.917969,9008.5458984375,9513.5986328125,10054.8720703125
Contamana,PE160601,Ucayali,PE1606,Loreto,16337.271484375,15936.701171875,16743.30078,16647.43359,17902.45313,18536.990234375
Contumaza,PE060501,Contumaza,PE0605,Cajamarca,7801.5556640625,7477.494141,8137.5751953125,8411.853516,8782.1416015625,10179.48438
Copa,PE150302,Cajatambo,PE1503,Lima,798.1153564453125,836.4942626953125,818.1436157226562,891.9527587890625,868.779052734375,1081.8592529296875
Copallin,PE010203,Bagua,PE0102,Amazonas,10265.9892578125,12363.978515625,10646.6083984375,13143.96484,11738.7919921875,15754.9287109375
Copani,PE211303,Yunguyo,PE2113,Puno,4954.2724609375,4972.257813,5175.60888671875,5379.9208984375,5644.26123046875,6679.9619140625
Coporaque,PE040506,Caylloma,PE0405,Arequipa,1760.058837890625,1658.5516357421875,1826.0535888671875,1953.1297607421875,1989.7843017578125,2563.987548828125
Coporaque,PE080803,Espinar,PE0808,Cusco,15991.216796875,16273.84766,16474.76172,17172.73438,17623.13672,20384.455078125
Coracora,PE050701,Parinacochas,PE0507,Ayacucho,21041.85938,22142.04688,21567.125,23533.626953125,23300.09375,30248.63672
Corani,PE210305,Carabaya,PE2103,Puno,3272.18505859375,3126.875244140625,3349.55517578125,3289.2958984375,3662.884766,3780.84326171875
Corculla,PE050803,Paucar del Sara Sara,PE0508,Ayacucho,508.1304931640625,500.1980895996094,515.591552734375,527.06298828125,600.6719970703125,655.1573486328125
Cordova,PE090603,Huaytara,PE0906,Huancavelica,2439.0263671875,2190.171142578125,2501.87255859375,2352.39306640625,2763.27783203125,3090.7568359375
Coris,PE020202,Aija,PE0202,Ancash,1725.8916015625,1578.7237548828125,1774.1363525390625,1703.7001953125,1928.128906,2411.998779296875
Coronel Casta?eda,PE050703,Parinacochas,PE0507,Ayacucho,1237.034912109375,1218.6490478515625,1260.3349609375,1277.1142578125,1368.560547,1524.609619140625
Coronel Gregorio Albarracin Lanchipa,PE230110,Tacna,PE2301,Tacna,76774.13281,67868.98438,81162.71094,78070.53906,87567.3125,93304.22656
Corongo,PE020901,Corongo,PE0209,Ancash,1364.943603515625,1317.1600341796875,1409.82080078125,1449.8638916015625,1562.8680419921875,1612.404541015625
Corosha,PE010304,Bongara,PE0103,Amazonas,1137.1610107421875,1120.9873046875,1146.6541748046875,1136.975341796875,1239.64501953125,1280.105712890625
Corrales,PE240102,Tumbes,PE2401,Tumbes,28410.62891,28814.46875,29723.49609,31161.05859,32172.849609375,37894.33984
Cortegana,PE060303,Celendin,PE0603,Cajamarca,18856.89844,19047.44141,19693.630859375,22728.048828125,21317.78125,29322.54297
Cosme,PE090511,Churcampa,PE0905,Huancavelica,3535.011474609375,3033.45947265625,3684.33154296875,3310.449219,3986.107666015625,3968.705322265625
Cospan,PE060104,Cajamarca,PE0601,Cajamarca,6002.07275390625,5283.076172,6181.728516,5954.578125,6538.2626953125,6516.644531
Cotabambas,PE030502,Cotabambas,PE0305,Apurimac,3453.535156,3297.57080078125,3544.6923828125,3468.21533203125,3733.881591796875,3801.61181640625
Cotahuasi,PE040801,La Union,PE0408,Arequipa,4131.626953,4226.63134765625,4158.748047,4321.3876953125,4563.42529296875,5088.32568359375
Cotaparaco,PE021703,Recuay,PE0217,Ancash,402.12396240234375,372.8132019042969,418.91815185546875,386.04278564453125,455.8754577636719,466.3511962890625
Cotaruse,PE030406,Aymaraes,PE0304,Apurimac,4723.861328,5538.69580078125,4863.2099609375,5892.88134765625,5402.310547,7506.93310546875
Coviriali,PE120602,Satipo,PE1206,Junin,5474.66845703125,4911.11279296875,5694.78076171875,5542.9755859375,6099.20263671875,6420.353516
Coya,PE080402,Calca,PE0804,Cusco,4025.6201171875,4523.013672,4178.4404296875,4851.0947265625,4633.488281,6431.681641
Coyllurqui,PE030503,Cotabambas,PE0305,Apurimac,6802.81591796875,6332.728516,7026.7255859375,6818.326172,7508.8662109375,7891.1533203125
Cristo Nos Valga,PE200804,Sechura,PE2008,Piura,4544.263672,4596.89697265625,4729.8369140625,5015.0302734375,5218.279297,6370.31982421875
Crucero,PE210306,Carabaya,PE2103,Puno,9469.625,9045.177734,9808.773438,9780.632813,10575.75,12080.76172
Cuchumbaya,PE180103,Mariscal Nieto,PE1801,Moquegua,2158.678466796875,2100.152587890625,2209.166748046875,2188.457275390625,2340.098388671875,2453.535888671875
Cuenca,PE090105,Huancavelica,PE0901,Huancavelica,1551.5501708984375,1393.5909423828125,1635.39208984375,1542.408447265625,1764.6490478515625,1763.449462890625
Cuenca,PE150706,Huarochiri,PE1507,Lima,276.843505859375,265.80987548828125,290.9154052734375,286.4472656,312.9472961425781,322.8585205078125
Cuispes,PE010305,Bongara,PE0103,Amazonas,1169.576172,1442.846435546875,1194.095947265625,1483.356201171875,1300.365966796875,1809.707031
Cujillo,PE060604,Cutervo,PE0606,Cajamarca,3265.176513671875,3137.06591796875,3363.877197265625,3588.08251953125,3638.595947265625,3866.75
Culebras,PE021103,Huarmey,PE0211,Ancash,2549.413330078125,2264.90380859375,2616.4482421875,2471.378906,2849.2216796875,2840.58837890625
Cullhuas,PE120113,Huancayo,PE1201,Junin,2188.465576171875,2120.5341796875,2262.87451171875,2236.0517578125,2413.89794921875,2580.0361328125
Cumba,PE010703,Utcubamba,PE0107,Amazonas,10900.275390625,11773.76172,11168.466796875,12259.9423828125,12117.1318359375,13637.46875
Cu?umbuqui,PE220505,Lamas,PE2205,San Martin,6499.6904296875,7480.89111328125,6694.634766,7875.0966796875,7223.9443359375,8860.673828
Cupi,PE210803,Melgar,PE2108,Puno,2967.306884765625,2836.4375,3042.527344,2967.59375,3240.63916015625,3386.238525390625
Cupisnique,PE060503,Contumaza,PE0605,Cajamarca,1157.31103515625,1079.374755859375,1174.403076171875,1149.3145751953125,1295.6951904296875,1299.930419921875
Cura Mori,PE200107,Piura,PE2001,Piura,23240.837890625,24983.57813,24282.03906,26791.193359375,26657.50391,32726.71484
Curahuasi,PE030104,Abancay,PE0301,Apurimac,15717.001953125,14804.673828125,16224.1279296875,16418.27734,17880.033203125,22829.49609
Curasco,PE030714,Grau,PE0307,Apurimac,1444.6676025390625,1329.04931640625,1483.220947265625,1454.2708740234375,1570.3414306640625,1595.4119873046875
Curgos,PE130904,Sanchez Carrion,PE1309,La Libertad,8824.8251953125,8672.365234,9132.953125,9245.636719,9994.6962890625,10857.2978515625
Curibaya,PE230204,Candarave,PE2302,Tacna,147.1826172,149.4649658203125,150.38088989257812,148.95257568359375,171.88746643066406,175.5897216796875
Curicaca,PE120406,Jauja,PE1204,Junin,1362.3154296875,1111.6456298828125,1427.72314453125,1262.130859,1547.92138671875,1538.77001953125
Curimana,PE250303,Padre Abad,PE2503,Ucayali,6002.949219,5511.5205078125,6159.35009765625,6041.833984,6741.91259765625,6850.83154296875
Curpahuasi,PE030702,Grau,PE0307,Apurimac,1985.21337890625,1848.77978515625,2031.037109,1999.8427734375,2183.15771484375,2220.3603515625
Cusca,PE020904,Corongo,PE0209,Ancash,2704.48095703125,2542.602783203125,2751.612060546875,2694.367188,2899.6669921875,2941.599853515625
Cusco,PE080101,Cusco,PE0801,Cusco,163877.3438,167077.2031,173543.1094,197483.7813,191603.1563,260723.375
Cusipata,PE081206,Quispicanchi,PE0812,Cusco,4370.798828,4112.833984,4526.6435546875,4595.496094,4857.689453,5289.404297
Cutervo,PE060601,Cutervo,PE0606,Cajamarca,56238.66016,54073.19531,58342.41797,58458.16406,63053.74219,77767.36719
Cuturapi,PE211304,Yunguyo,PE2113,Puno,1310.6263427734375,1294.230712890625,1380.28173828125,1382.8792724609375,1480.6610107421875,1794.6026611328125
Cuyocuyo,PE211202,Sandia,PE2112,Puno,4798.3291015625,4624.921875,4936.6103515625,4952.453125,5302.3544921875,5905.8564453125
Daniel Alomia Robles,PE100602,Leoncio Prado,PE1006,Huanuco,7449.3681640625,7504.66943359375,7610.3466796875,7786.958984,8363.632813,8619.0009765625
Daniel Hernandez,PE090706,Tayacaja,PE0907,Huancavelica,11033.4404296875,11546.1689453125,11526.5166015625,12706.8017578125,12740.224609375,19177.04297
Dean Valdivia,PE040703,Islay,PE0407,Arequipa,6252.6337890625,5639.75439453125,6567.52685546875,6364.41748046875,7169.7626953125,7625.880859
Desaguadero,PE210402,Chucuito,PE2104,Puno,37728.53125,37189.01563,39593.45703,42103.07422,43533.35938,65688.73438
Echarate,PE080902,La Convencion,PE0809,Cusco,9941.8369140625,9101.2275390625,10192.7802734375,9941.923828,10837.3173828125,11080.0888671875
Eduardo Villanueva,PE061003,San Marcos,PE0610,Cajamarca,2496.848388671875,2320.10400390625,2585.119141,2540.126220703125,2810.9208984375,2926.49560546875
El Agustino,PE150111,Lima,PE1501,Lima,186993.7813,181496.3281,193828.4375,192255.4688,211860.6563,218761.2031
El Algarrobal,PE180302,Ilo,PE1803,Moquegua,309.25872802734375,294.6838073730469,316.8740234,312.0071716308594,329.7623596191406,333.24285888671875
El Alto,PE200702,Talara,PE2007,Piura,8420.072266,9652.378906,8739.0986328125,10632.0419921875,9376.275391,12898.29297
El Carmen,PE090504,Churcampa,PE0905,Huancavelica,2766.68310546875,2535.80908203125,2862.607422,2879.456298828125,3099.579345703125,3411.72705078125
El Carmen,PE110205,Chincha,PE1102,Ica,11880.61719,10680.7998046875,12450.283203125,11897.697265625,13550.150390625,14014.13672
El Carmen de la Frontera,PE200303,Huancabamba,PE2003,Piura,17692.076171875,17779.787109375,18125.005859375,18593.166015625,19284.64453,21677.90234
El Cenepa,PE010402,Condorcanqui,PE0104,Amazonas,4582.3662109375,4459.994141,4681.81298828125,4630.251953,4932.292969,5014.1689453125
El Eslabon,PE220403,Huallaga,PE2204,San Martin,4722.9853515625,5291.5693359375,4954.5126953125,5690.16552734375,5404.17919921875,6472.27490234375
El Ingenio,PE110303,Nasca,PE1103,Ica,1969.443603515625,1792.7303466796875,2045.359130859375,1910.82373046875,2211.18310546875,2237.35302734375
El Mantaro,PE120407,Jauja,PE1204,Junin,2389.089599609375,2361.71630859375,2535.886962890625,2920.880859,2855.7607421875,4025.347412109375
El Milagro,PE010704,Utcubamba,PE0107,Amazonas,8120.451172,8206.984375,8513.527344,9038.5126953125,9223.070313,10699.64453
El Oro,PE030302,Antabamba,PE0303,Apurimac,457.31744384765625,424.61639404296875,472.6256103515625,464.48529052734375,493.2423095703125,496.5602111816406
El Parco,PE010204,Bagua,PE0102,Amazonas,2936.643798828125,3838.53173828125,3121.29833984375,4872.248047,3420.93408203125,5537.6845703125
El Porvenir,PE030610,Chincheros,PE0306,Apurimac,1371.076416015625,1103.1533203125,1437.569580078125,1371.42138671875,1552.5921630859375,1559.538818359375
El Porvenir,PE130102,Trujillo,PE1301,La Libertad,169367.7656,150551.9688,175767.5156,167123.0313,190526.9844,195156.6563
El Porvenir,PE220906,San Martin,PE2209,San Martin,3506.1005859375,3634.716064453125,3580.49755859375,3813.715087890625,4070.18310546875,4764.523438
El Prado,PE061105,San Miguel,PE0611,Cajamarca,1155.558837890625,1016.5315551757812,1199.466552734375,1145.7891845703125,1292.892578,1262.169189453125
El Tallan,PE200108,Piura,PE2001,Piura,5537.746094,6746.30517578125,5879.1767578125,7128.5712890625,6499.02783203125,9207.1318359375
El Tambo,PE120114,Huancayo,PE1201,Junin,188386.7813,185858.8438,197450.9688,210365.125,221634.875,285726.0313
Eleazar Guzman Barron,PE021303,Mariscal Luzuriaga,PE0213,Ancash,1122.267578,1109.0980224609375,1143.07373046875,1130.8056640625,1239.64501953125,1244.2325439453125
Elias Soplin Vargas,PE220803,Rioja,PE2208,San Martin,20824.58984,20632.958984375,21756.892578125,22035.287109375,23578.47656,26177.029296875
Emilio San Martin,PE160504,Requena,PE1605,Loreto,4073.80517578125,3940.43994140625,4162.328125,4098.39892578125,4356.9736328125,4401.072266
Enca?ada,PE060105,Cajamarca,PE0601,Cajamarca,26571.720703125,26118.154296875,27581.46484,29156.80859,30183.06641,39802.22656
Espinar,PE080801,Espinar,PE0808,Cusco,39225.04688,41476.52734,40556.29297,45401.45313,44072.32031,62163.48047
Estique,PE230403,Tarata,PE2304,Tacna,480.9718017578125,446.6964416503906,493.2135009765625,475.9431457519531,544.6217041015625,540.9296264648438
Estique-Pampa,PE230404,Tarata,PE2304,Tacna,426.6543884277344,385.5516662597656,439.50604248046875,414.246826171875,466.1513366699219,475.7915344238281
Eten,PE140103,Chiclayo,PE1401,Lambayeque,9471.376953,8722.4697265625,9803.400391,9544.4228515625,10692.5205078125,11907.060546875
Eten Puerto,PE140104,Chiclayo,PE1401,Lambayeque,1594.478516,1492.10205078125,1676.56787109375,1714.2767333984375,1853.395263671875,2164.662841796875
Fernando Lores,PE160103,Maynas,PE1601,Loreto,33426.22656,32934.09375,34453.33594,34390.41797,37591.97656,39821.10547
Ferre?afe,PE140201,Ferre?afe,PE1402,Lambayeque,36896.40625,33576.11719,38364.13281,37681.47656,41264.20313,42956.23438
Fidel Olivas Escudero,PE021304,Mariscal Luzuriaga,PE0213,Ancash,2066.689453,1999.0938720703125,2108.017578,2080.0478515625,2247.615478515625,2304.378906
Fitzcarrald,PE170202,Manu,PE1702,Madre de Dios,18.397829055786133,17.83388900756836,18.797611236572266,18.508899688720703,19.617591857910156,19.824647903442383
Florencia de Mora,PE130103,Trujillo,PE1301,La Libertad,40652.19531,38379.375,41817.52344,40768.9375,45524.01953,48553.39063
Florida,PE010306,Bongara,PE0103,Amazonas,11033.4404296875,12100.7177734375,11746.716796875,12724.4287109375,12890.625,15684.126953125
Frias,PE200202,Ayabaca,PE2002,Piura,29499.60547,29949.04297,30502.25391,32666.44922,32779.125,40871.8125
Gamarra,PE030703,Grau,PE0307,Apurimac,3156.5419921875,2968.917969,3230.503662109375,3135.936767578125,3405.98779296875,3419.279297
Gorgor,PE150303,Cajatambo,PE1503,Lima,2538.0244140625,2422.86083984375,2620.02880859375,2808.94580078125,2826.80126953125,3414.559326171875
Goyllarisquizga,PE190203,Daniel Alcides Carrion,PE1902,Pasco,5382.67919921875,5167.5810546875,5603.478516,5691.0458984375,6074.914063,6531.7490234375
Granada,PE010107,Chachapoyas,PE0101,Amazonas,483.6000671386719,473.87188720703125,489.6330261230469,495.33343505859375,522.20166015625,539.0415649414062
Gregorio Pita,PE061004,San Marcos,PE0610,Cajamarca,5655.142578,5250.80615234375,5913.191406,5762.43798828125,6416.820313,6561.9580078125
Grocio Prado,PE110206,Chincha,PE1102,Ica,22560.11719,20277.12891,23746.75391,23554.779296875,25985.83594,28437.041015625
Guadalupe,PE130702,Pacasmayo,PE1307,La Libertad,42592.72656,38688.49609,44368.625,43310.82813,47878.13281,53065.85938
Guadalupito,PE131203,Viru,PE1312,La Libertad,7667.5146484375,6792.16357421875,8003.30615234375,7742.89013671875,8799.890625,9085.351563
Guzmango,PE060504,Contumaza,PE0605,Cajamarca,1969.4437255859375,1486.1572265625,2075.793212890625,1763.6339111328125,2288.718994140625,2263.785888671875
Habana,PE220103,Moyobamba,PE2201,San Martin,3435.137451171875,4062.7294921875,3547.3779296875,4226.19873046875,3851.587158203125,4795.6767578125
Haquira,PE030504,Cotabambas,PE0305,Apurimac,10053.9755859375,9510.556641,10341.3720703125,10373.7978515625,11125.97656,12542.3935546875
Hermilio Valdizan,PE100603,Leoncio Prado,PE1006,Huanuco,4933.246094,5522.560547,5186.3505859375,6171.396484,5664.8125,6661.0810546875
Heroes Albarracin,PE230402,Tarata,PE2304,Tacna,311.8869934082031,306.5730285644531,319.55938720703125,317.2954406738281,340.972412109375,337.01898193359375
Heroinas Toledo,PE120207,Concepcion,PE1202,Junin,1022.3935546875,926.512939453125,1074.149169921875,1047.9564208984375,1137.820313,1172.4862060546875
Hongos,PE151012,Yauyos,PE1510,Lima,254.94134521484375,245.4282684326172,256.9006652832031,253.83636474609375,269.041259765625,270.93682861328125
Honoria,PE100903,Puerto Inca,PE1009,Huanuco,5392.31591796875,4683.5185546875,5509.490234,5320.8681640625,6091.7294921875,6122.9833984375
Huabal,PE060805,Jaen,PE0608,Cajamarca,14048.056640625,15200.416015625,14501.9091796875,16684.45313,16093.89844,18578.525390625
Huac-Huas,PE050607,Lucanas,PE0506,Ayacucho,2481.95458984375,2283.5869140625,2548.4189453125,2452.8701171875,2718.4375,2971.808837890625
Huacachi,PE021005,Huari,PE0210,Ancash,2400.478516,2562.13525390625,2535.88720703125,2676.73974609375,2681.07080078125,2923.66357421875
Huaca?a,PE050905,Sucre,PE0509,Ayacucho,534.4130859,497.6503906,546.0258178710938,537.6395263671875,586.659423828125,591.9073486328125
Huacar,PE100205,Ambo,PE1002,Huanuco,9053.484375,9807.789063,9507.115234,10169.318359375,10378.6396484375,11560.6005859375
Huacaschuque,PE021504,Pallasca,PE0215,Ancash,361.823974609375,343.9392395019531,387.5888366699219,366.65252685546875,400.7593688964844,406.87725830078125
Huacaybamba,PE100401,Huacaybamba,PE1004,Huanuco,8542.7255859375,8888.9189453125,8782.064453,9360.214844,9238.017578,10176.65234
Huaccana,PE030604,Chincheros,PE0306,Apurimac,6728.3486328125,6187.509766,6966.75244140625,7001.6533203125,7579.863281,8684.138672
Huacchis,PE021006,Huari,PE0210,Ancash,2297.100341796875,2574.87353515625,2387.29638671875,2685.55322265625,2604.46875,2872.685547
Huachac,PE120904,Chupaca,PE1209,Junin,5332.742188,5914.05712890625,5611.5341796875,6939.07470703125,6359.835938,10255.951171875
Huachis,PE021007,Huari,PE0210,Ancash,4132.5029296875,3939.5908203125,4251.8408203125,4680.9892578125,4689.53857421875,5318.6689453125
Huacho,PE150801,Huaura,PE1508,Lima,58626.875,50108.98047,62247.83984,59480.55469,67445.28125,71219.57031
Huachocolpa,PE090106,Huancavelica,PE0901,Huancavelica,2846.406982421875,2750.6650390625,2894.832031,2899.72802734375,3115.46044921875,3333.37255859375
Huachocolpa,PE090707,Tayacaja,PE0907,Huancavelica,4965.66162109375,4066.975341796875,5158.601563,4781.4658203125,5518.14794921875,6001.203125
Huachon,PE190102,Pasco,PE1901,Pasco,7296.92919921875,7614.22119140625,7493.08544921875,8121.0009765625,8138.498047,10739.29297
Huachos,PE090407,Castrovirreyna,PE0904,Huancavelica,1570.8240966796875,1472.569580078125,1628.23095703125,1635.8343505859375,1736.6239013671875,1990.01708984375
Huachupampa,PE150707,Huarochiri,PE1507,Lima,2625.632813,2361.716064453125,2727.44384765625,2650.29833984375,2937.9677734375,3095.476806640625
Huacllan,PE020203,Aija,PE0202,Ancash,472.2109375,408.48095703125,481.576904296875,466.2480163574219,515.662353515625,562.642333984375
Huacrachuco,PE100701,Mara?on,PE1007,Huanuco,18036.880859375,18678.02344,18651.705078125,20527.25391,20184.634765625,23313.78516
Huacrapuquio,PE120116,Huancayo,PE1201,Junin,1263.317626953125,1290.833740234375,1312.252197265625,1423.422607421875,1441.4259033203125,1835.1959228515625
Huacullani,PE210403,Chucuito,PE2104,Puno,24330.69141,24401.853515625,25369.61328,27271.54297,27795.322265625,36504.72656
Hualgayoc,PE060703,Hualgayoc,PE0607,Cajamarca,16010.490234375,15202.115234375,16557.11328,16429.73438,18036.03906,21469.14844
Hualhuas,PE120117,Huancayo,PE1201,Junin,6666.146484,6962.01025390625,6990.92138671875,8292.869141,7655.53173828125,12564.1064453125
Huallaga,PE220204,Bellavista,PE2202,San Martin,5818.09423828125,6246.95654296875,6016.130859,6530.99755859375,6496.224609,7688.1865234375
Huallanca,PE020508,Bolognesi,PE0205,Ancash,12996.751953125,13706.61719,13463.5634765625,14771.865234375,14434.810546875,18581.357421875
Huallanca,PE021202,Huaylas,PE0212,Ancash,814.760986328125,728.6417236328125,837.8363647460938,792.3572998046875,914.5533447265625,900.6053466796875
Hualmay,PE150805,Huaura,PE1508,Lima,18099.08203,16054.744140625,18572.03906,18225.978515625,20454.60938,21717.427734375
Huamachuco,PE130901,Sanchez Carrion,PE1309,La Libertad,76493.79688,77455.96875,80180.76563,92085.30469,87571.05469,129700.3906
Huamali,PE120408,Jauja,PE1204,Junin,1761.81103515625,1683.1793212890625,1938.8392333984375,2179.643310546875,2242.01025390625,2907.61474609375
Huamancaca Chico,PE120905,Chupaca,PE1209,Junin,7487.04052734375,7513.162109,7878.88427734375,8513.212891,8475.7333984375,12434.77344
Huamanguilla,PE050403,Huanta,PE0504,Ayacucho,6296.4375,6410.85791015625,6665.99072265625,7510.207031,7600.41552734375,10812.9287109375
Huamanquiquia,PE051008,Victor Fajardo,PE0510,Ayacucho,1146.7979736328125,1058.9932861328125,1184.24951171875,1144.9078369140625,1256.4599609375,1252.728759765625
Huamantanga,PE150403,Canta,PE1504,Lima,806.0001220703125,759.214111328125,823.5142822265625,811.7474975585938,870.6473999023438,877.9486083984375
Huamatambo,PE090408,Castrovirreyna,PE0904,Huancavelica,345.1783142089844,313.36688232421875,352.6789855957031,341.0926208496094,381.14178466796875,379.5003662109375
Huambalpa,PE051105,Vilcas Huaman,PE0511,Ayacucho,2072.82177734375,1848.7796630859375,2124.1298828125,2080.92919921875,2249.48388671875,2279.834228515625
Huambo,PE010604,Rodriguez de Mendoza,PE0106,Amazonas,2450.41552734375,2605.446044921875,2526.041016,2660.875,2721.240234,3117.189453
Huambo,PE040507,Caylloma,PE0405,Arequipa,171.7130584716797,169.8465576171875,178.12974548339844,178.03799438476562,188.70254516601562,189.75018310546875
Huambos,PE060409,Chota,PE0604,Cajamarca,7124.34033203125,5976.050781,7427.74169921875,7045.7216796875,7977.820313,8034.64599609375
Huampara,PE151013,Yauyos,PE1510,Lima,160.32394409179688,152.01266479492188,163.8077392578125,161.2918701171875,171.88746643066406,172.75762939453125
Huanca,PE040508,Caylloma,PE0405,Arequipa,1102.9937744140625,1156.655029296875,1127.8565673828125,1341.4547119140625,1270.4725341796875,1838.028076171875
Huanca-Huanca,PE090307,Angaraes,PE0903,Huancavelica,1603.2393798828125,1515.8804931640625,1658.66552734375,1625.257813,1750.636474609375,1797.4345703125
Huancabamba,PE190303,Oxapampa,PE1903,Pasco,6880.7880859375,6804.902344,7071.482422,7246.67529296875,7751.7509765625,8457.572266
Huancabamba,PE200301,Huancabamba,PE2003,Piura,43904.23047,45300.625,46029.07813,48382.26563,50346.21094,60203.67578
Huancan,PE120119,Huancayo,PE1201,Junin,33218.59375,34529.80469,35349.35547,40565.33984,40224.46875,69360.77344
Huancane,PE210601,Huancane,PE2106,Puno,17577.8125,16828.396484375,18487.00391,18894.943359375,20156.60938,27307.03516
Huancano,PE110502,Pisco,PE1105,Ica,953.1827392578125,872.1619873046875,989.1124267578125,924.5635986328125,1112.5977783203125,1072.4189453125
Huancapi,PE051001,Victor Fajardo,PE0510,Ayacucho,2107.86572265625,2070.429443359375,2176.9423828125,2256.3232421875,2313.941406,2616.853516
Huancapon,PE150304,Cajatambo,PE1503,Lima,1242.29150390625,1328.2000732421875,1278.237548828125,1393.455810546875,1396.585693359375,1754.0091552734375
Huancarama,PE030204,Andahuaylas,PE0302,Apurimac,6596.0595703125,6458.4150390625,6869.1845703125,7505.7998046875,7805.9326171875,10027.49609
Huancarani,PE081105,Paucartambo,PE0811,Cusco,7361.759766,7145.4443359375,7667.63525390625,7841.6044921875,8357.09375,10559.9287109375
Huancaray,PE030205,Andahuaylas,PE0302,Apurimac,3851.27880859375,3556.58642578125,4019.108154296875,3903.615478515625,4333.619141,4555.892578
Huancaraylla,PE051009,Victor Fajardo,PE0510,Ayacucho,869.9544677734375,795.7310791015625,895.1243896484375,861.9859619140625,953.7886352539062,960.079345703125
Huancarqui,PE040407,Castilla,PE0404,Arequipa,1583.9654541015625,1500.5943603515625,1640.762939453125,1807.7027587890625,1792.67431640625,2250.569580078125
Huancas,PE010108,Chachapoyas,PE0101,Amazonas,1678.5828857421875,2093.358642578125,1841.270751953125,2172.59228515625,2035.558594,2644.230224609375
Huancaspata,PE130804,Pataz,PE1308,La Libertad,7451.1201171875,7493.62939453125,7687.32763671875,8467.380859,8301.9775390625,9729.181641
Huancavelica,PE090101,Huancavelica,PE0901,Huancavelica,53817.15625,59380.05469,56608.55469,71236.35156,62504.44531,111439.0547
Huancaya,PE151014,Yauyos,PE1510,Lima,1147.674072265625,1088.7164306640625,1170.82275390625,1159.89111328125,1246.1842041015625,1260.281005859375
Huancayo,PE120101,Huancayo,PE1201,Junin,147102.9063,148430.5938,154334.6406,176443.5781,172788.0156,231718.9844
Huanchaco,PE130104,Trujillo,PE1301,La Libertad,53167.09766,49139.15625,55944.375,54948.51563,61024.72266,67350.92969
Huanchay,PE020104,Huaraz,PE0201,Ancash,1690.84814453125,1424.163330078125,1731.17041015625,1643.7666015625,1853.395263671875,1874.8450927734375
Huando,PE090119,Huancavelica,PE0901,Huancavelica,7664.886719,7360.30029296875,7906.6337890625,8245.2744140625,8507.4951171875,9757.501953
Huandoval,PE021505,Pallasca,PE0215,Ancash,1050.428466796875,958.7838134765625,1091.156494140625,1033.8543701171875,1160.240478515625,1157.3817138671875
Hua?ec,PE151017,Yauyos,PE1510,Lima,357.44354248046875,343.0900573730469,367.0009460449219,362.2456359863281,381.1417541503906,384.22052001953125
Huangascar,PE151015,Yauyos,PE1510,Lima,561.5718383789062,510.3888854980469,579.1454467773438,570.2504272460938,605.3427734,612.6759643554688
Huanipaca,PE030105,Abancay,PE0301,Apurimac,3831.128906,3672.08251953125,3932.28125,3880.69970703125,4194.427734,4305.724609
Huanoquite,PE081005,Paruro,PE0810,Cusco,5038.376953,4835.53125,5214.09912109375,5107.5751953125,5558.3173828125,5854.878906
Huanta,PE050401,Huanta,PE0504,Ayacucho,56208.87109,56581.82813,58769.39063,64129.81641,66646.5625,96481.82813
Huantan,PE151016,Yauyos,PE1510,Lima,412.6369934082031,404.23480224609375,423.393798828125,453.0273742675781,452.1387939453125,538.0975341796875
Huantar,PE021008,Huari,PE0210,Ancash,3336.1396484375,3216.893798828125,3546.482422,3510.521484,3815.154541015625,4521.9072265625
Huanuara,PE230205,Candarave,PE2302,Tacna,714.010986328125,675.1400756835938,725.0506591796875,716.5588989257812,793.1112060546875,863.7882080078125
Huanuco,PE100101,Huanuco,PE1001,Huanuco,94986.23438,89217.84375,100583.3359,108269.1406,109874.3906,143012.1719
Huanuhuanu,PE040309,Caraveli,PE0403,Arequipa,3022.50048828125,3073.373291015625,3111.4521484375,3250.515380859375,3415.3291015625,4524.73974609375
Huanza,PE150708,Huarochiri,PE1507,Lima,2615.11962890625,2451.73486328125,2688.058349609375,2697.892578,2886.58837890625,3193.656005859375
Huaquirca,PE030303,Antabamba,PE0303,Apurimac,1214.2568359375,1154.107422,1238.85205078125,1198.671630859375,1353.6138916015625,1418.87841796875
Huaral,PE150601,Huaral,PE1506,Lima,94094.375,86417.92188,98804.71875,95877.875,106186.2734,114735.6172
Huaranchal,PE130605,Otuzco,PE1306,La Libertad,4025.6201171875,3635.5654296875,4222.3017578125,4156.570313,4614.804688,4763.5791015625
Huarango,PE060903,San Ignacio,PE0609,Cajamarca,26070.59766,27491.36328,27260.115234375,29011.380859375,29482.435546875,34208.84375
Huaraz,PE020101,Huaraz,PE0201,Ancash,79606.52344,80803.64844,83772,92600.90625,90935.94531,128644.9688
Huari,PE021001,Huari,PE0210,Ancash,11147.33203,10857.4404296875,11529.201171875,13402.20703,12683.240234375,16471.44922
Huariaca,PE190103,Pasco,PE1901,Pasco,13737.044921875,17129.875,14856.37891,18589.10547,16943.060546875,21735.36328
