ADM3_ES,ADM3_PCODE,ADM2_ES,ADM2_PCODE,ADM1_ES,SSP1_2030_population,SSP1_2050_population,SSP2_2030_population,SSP2_2050_population,SSP3_2030_population,SSP3_2050_population
San Pedro de Palco,PE050618,Lucanas,PE0506,Ayacucho,944.421875,903.5836791992188,964.0488891601562,951.8863525390625,1022.917236328125,1011.0570068359375
San Pedro de Pilas,PE151027,Yauyos,PE1510,Lima,243.55223083496094,236.0867156982422,247.0543212890625,245.0225830078125,260.63372802734375,262.4405517578125
San Pedro de Pillao,PE190205,Daniel Alcides Carrion,PE1902,Pasco,3354.53759765625,4174.828125,3547.377685546875,4455.35693359375,4105.681641,5042.068359
San Pedro de Putina Punco,PE211210,Sandia,PE2112,Puno,9311.615234,9006.460938,9527.5498046875,9467.8955078125,10062.248046875,10466.57422
San Rafael,PE100207,Ambo,PE1002,Huanuco,15412.123046875,16064.935546875,16342.2841796875,16791.98047,17587.63672,18496.39453
San Rafael,PE220206,Bellavista,PE2202,San Martin,9987.392578,11090.1298828125,10443.416015625,12243.197265625,11693.0185546875,14864.708984375
San Ramon,PE120305,Chanchamayo,PE1203,Junin,27015.021484375,24799.294921875,27988.748046875,27268.89844,30185.86719,34432.57813
San Roque de Cumbaza,PE220508,Lamas,PE2205,San Martin,1527.89599609375,2129.875732421875,1560.20166015625,2218.424072265625,1657.2193603515625,2327.035888671875
San Salvador,PE080406,Calca,PE0804,Cusco,5677.04443359375,5945.478516,5915.876953,6440.216797,6527.9873046875,8877.6650390625
San Salvador de Quije,PE050909,Sucre,PE0509,Ayacucho,1506.869873046875,1399.5355224609375,1559.306641,1520.3740234375,1659.087891,1747.40087890625
San Sebastian,PE080105,Cusco,PE0801,Cusco,117069.7656,119660.2969,127384.25,151772.9844,141866,206435.9375
San Silvestre de Cochan,PE061111,San Miguel,PE0611,Cajamarca,3563.04638671875,3291.626220703125,3701.339111328125,3583.675781,3947.806641,4038.5634765625
San Vicente de Ca?ete,PE150501,Ca?ete,PE1505,Lima,56936.02344,53672.35547,59780.87891,59295.46875,65759.10156,75197.71875
Sa?a,PE140115,Chiclayo,PE1401,Lambayeque,10758.349609375,9043.4794921875,11281.251953125,10358.814453125,12365.6220703125,12487.638671875
Sanagoran,PE130906,Sanchez Carrion,PE1309,La Libertad,11667.7275390625,10428.57813,12193.38281,11439.38281,13078.39453,13306.11328
Sa?ayca,PE030412,Aymaraes,PE0304,Apurimac,912.0066528320312,861.9712524414062,934.5097656,919.2753906,993.0237426757812,1045.0421142578125
Sancos,PE050301,Huanca Sancos,PE0503,Ayacucho,2315.498047,2187.62353515625,2374.764892578125,2310.96875,2501.7099609375,2686.711669921875
Sancos,PE050619,Lucanas,PE0506,Ayacucho,8799.417969,9523.2958984375,9047.916016,10134.064453125,9974.144531,11377.458984375
Sandia,PE211201,Sandia,PE2112,Puno,12016.41016,12172.90234,12347.3447265625,12996.77344,13193.29688,14632.47656
Sangallaya,PE150726,Huarochiri,PE1507,Lima,535.2892456054688,490.00732421875,547.8161010742188,538.5208740234375,572.6468505859375,575.8587646484375
Sangarara,PE080207,Acomayo,PE0802,Cusco,3436.013672,3199.059814453125,3570.65087890625,3569.57373046875,3901.09814453125,4917.45654296875
Sa?o,PE120132,Huancayo,PE1201,Junin,4885.9375,5058.0302734375,5062.82275390625,5574.70458984375,5640.52490234375,8464.179688
Santa,PE021808,Santa,PE0218,Ancash,21866.25781,20880.93359,22975.15625,22792.39063,24976.92969,29021.396484375
Santa Ana,PE080901,La Convencion,PE0809,Cusco,35085.53516,33522.61328,36538.07813,37770.49609,40301.07422,49849.55078
Santa Ana,PE090411,Castrovirreyna,PE0904,Huancavelica,1680.3349609375,1610.145263671875,1726.69482421875,1735.429931640625,1848.724365234375,1945.6474609375
Santa Ana de Huaycahuacho,PE050620,Lucanas,PE0506,Ayacucho,656.189208984375,621.6383666992188,682.084716796875,655.743896484375,769.7569580078125,924.2061157226562
Santa Ana de Tusi,PE190206,Daniel Alcides Carrion,PE1902,Pasco,39965.33594,44656.05469,43452.91797,49532.46094,48447.03906,65013.51172
Santa Anita,PE150137,Lima,PE1501,Lima,222906.3438,214822.75,228195.8438,224073.1563,239398.125,242126.9063
Santa Barbara de Carhuacayan,PE120807,Yauli,PE1208,Junin,1792.47412109375,1712.902344,1828.739013671875,1815.635009765625,1938.40478515625,1966.4163818359375
Santa Catalina,PE010520,Luya,PE0105,Amazonas,2643.154541015625,2624.12939453125,2725.653564453125,2815.9970703125,2913.67919921875,3193.656005859375
Santa Catalina de Mossa,PE200408,Morropon,PE2004,Piura,4604.7138671875,5252.50439453125,4821.1396484375,5425.751953,5224.818359,6471.3310546875
Santa Cruz,PE021208,Huaylas,PE0212,Ancash,4408.4697265625,3935.344482421875,4561.5537109375,4405.1181640625,4903.4638671875,5146.85595703125
Santa Cruz,PE060611,Cutervo,PE0606,Cajamarca,2439.0263671875,2213.94970703125,2525.1455078125,2394.699219,2731.51611328125,2754.681641
Santa Cruz,PE061301,Santa Cruz,PE0613,Cajamarca,10516.548828125,9432.4287109375,10873.970703125,10450.478515625,11783.63281,12615.0830078125
Santa Cruz,PE110404,Palpa,PE1104,Ica,679.8436279296875,583.4229125976562,705.3580322265625,633.7095336914062,766.954345703125,763.7208862304688
Santa Cruz,PE160210,Alto Amazonas,PE1602,Loreto,6434.859375,6271.583984,6590.800781,6540.693359,7446.27685546875,7528.6455078125
Santa Cruz de Andamarca,PE150610,Huaral,PE1506,Lima,1233.530517578125,1182.132080078125,1252.27880859375,1225.994384765625,1333.996094,1323.53125
Santa Cruz de Chuca,PE131007,Santiago de Chuco,PE1310,La Libertad,2572.191650390625,2356.620849609375,2681.79248046875,2503.989990234375,2866.970703,2893.454345703125
Santa Cruz de Cocachacra,PE150727,Huarochiri,PE1507,Lima,2519.62646484375,2432.20263671875,2615.55322265625,2619.4501953125,2809.05224609375,3243.68994140625
Santa Cruz de Flores,PE150515,Ca?ete,PE1505,Lima,2256.80029296875,1861.5181884765625,2374.7646484375,2212.25439453125,2567.10205078125,2592.308349609375
Santa Cruz de Toled,PE060506,Contumaza,PE0605,Cajamarca,840.16748046875,749.0232543945312,865.585205078125,798.5269165039062,929.5001220703125,921.3740234
Santa Eulalia,PE150728,Huarochiri,PE1507,Lima,15296.4794921875,14707.86328,15762.244140625,15774.8720703125,16810.40625,20398.61719
Santa Isabel de Siguas,PE040120,Arequipa,PE0401,Arequipa,1424.517578,1290.833740234375,1475.164794921875,1398.744141,1590.893310546875,1601.076172
Santa Leonor,PE150809,Huaura,PE1508,Lima,981.217529296875,935.8544922,1004.3294677734375,978.32763671875,1084.572509765625,1095.07568359375
Santa Lucia,PE050621,Lucanas,PE0506,Ayacucho,160.32394409179688,154.56036376953125,161.12237548828125,156.88497924804688,181.22918701171875,182.19793701171875
Santa Lucia,PE210709,Lampa,PE2107,Puno,6256.13818359375,5979.44775390625,6441.31494140625,6489.5732421875,6814.777344,7254.87646484375
Santa Maria,PE150810,Huaura,PE1508,Lima,34040.36328,30847.529296875,35513.16016,34742.96875,38059.05859,41708.22266
Santa Maria de Chicmo,PE030215,Andahuaylas,PE0302,Apurimac,9885.7666015625,9707.580078,10357.48438,10646.142578125,11240.8798828125,12662.28516
Santa Maria del Mar,PE150138,Lima,PE1501,Lima,1961.558837890625,1832.644287109375,2011.3443603515625,1968.9945068359375,2163.5400390625,2457.3125
Santa Maria del Valle,PE100109,Huanuco,PE1001,Huanuco,26435.92578,29385.14844,28011.125,31637.880859375,30862.208984375,40660.34766
Santa Rita de Siguas,PE040121,Arequipa,PE0401,Arequipa,5692.814453,5142.1044921875,5889.917969,5891.11962890625,6558.81494140625,7448.40283203125
Santa Rosa,PE010610,Rodriguez de Mendoza,PE0106,Amazonas,526.5283203,635.2261352539062,537.9697266,663.6763305664062,595.06689453125,716.5193481445312
Santa Rosa,PE021510,Pallasca,PE0215,Ancash,790.2305908203125,694.6724243164062,818.1435547,758.8649291992188,884.659912109375,861.9000854492188
Santa Rosa,PE030710,Grau,PE0307,Apurimac,554.5631713867188,516.33349609375,582.7259521484375,565.843505859375,621.2236938476562,625.8923950195312
Santa Rosa,PE050507,La Mar,PE0505,Ayacucho,10368.490234375,8770.0263671875,10787.142578125,10222.201171875,11673.400390625,12239.3583984375
Santa Rosa,PE060812,Jaen,PE0608,Cajamarca,12459.71094,12980.52344,13056.283203125,14018.28906,14131.205078125,15652.974609375
Santa Rosa,PE140114,Chiclayo,PE1401,Lambayeque,10057.478515625,9772.121094,10493.5419921875,10379.9677734375,11263.2998046875,11958.982421875
Santa Rosa,PE150139,Lima,PE1501,Lima,16163.806640625,15458.583984375,16905.318359375,16564.583984375,18497.51953,22301.78516
Santa Rosa,PE210504,El Collao,PE2105,Puno,4848.265625,4861.0087890625,4967.044922,5231.849609,5331.314453,6332.558594
Santa Rosa,PE210808,Melgar,PE2108,Puno,6520.71630859375,6196.00244140625,6675.83740234375,6573.30419921875,7208.0634765625,7738.2197265625
Santa Rosa,PE220304,El Dorado,PE2203,San Martin,15964.05859,18362.96094,16667.21484,19572.72266,18318.16016,22356.53906
Santa Rosa de Alto Yanajanca,PE100705,Mara?on,PE1007,Huanuco,1321.1392822265625,1272.1507568359375,1345.371826171875,1337.92919921875,1445.1624755859375,1615.2366943359375
Santa Rosa de Ocopa,PE120215,Concepcion,PE1202,Junin,2433.77001953125,2533.26123046875,2553.78955078125,2885.6259765625,2856.69482421875,4331.21337890625
Santa Rosa de Quives,PE150407,Canta,PE1504,Lima,10566.486328125,9209.0791015625,11041.3583984375,10617.9384765625,11840.6181640625,12599.0341796875
Santa Rosa de Sacco,PE120808,Yauli,PE1208,Junin,10719.8017578125,10295.248046875,11205.166015625,11514.298828125,12249.7841796875,18996.73438
Santa Teresa,PE080908,La Convencion,PE0809,Cusco,5395.820313,4983.2978515625,5550.666016,5399.31103515625,5965.6162109375,6127.7041015625
Santiago,PE080106,Cusco,PE0801,Cusco,97708.23438,98183.19531,103208.7344,110311.2891,111879.125,139705.2344
